,PVMATH,PVREAD,PVSCIE,PVMCCR,PVMCQN,PVMCSS,PVMCUD,PVMPEM,PVMPFS,PVMPIN,PVMPRE
478,1,1,1,1,1,1,1,1,1,1,1
479,1,2,3,1,1,2,2,2,1,2,1
480,2,2,3,2,2,2,2,2,2,2,2
481,2,2,2,2,2,3,2,2,3,2,3
482,4,3,4,4,4,4,4,4,4,4,4
483,1,1,1,1,1,2,2,1,2,1,2
484,2,3,2,2,3,3,3,3,2,3,3
485,4,4,4,4,4,4,4,4,4,4,4
486,1,2,2,2,1,2,1,1,1,1,1
487,4,4,4,4,4,4,4,4,4,4,4
488,2,2,2,1,1,2,2,1,1,2,2
489,1,1,1,1,1,1,1,1,1,1,1
490,3,3,1,3,2,2,2,3,3,2,3
491,1,1,1,1,1,1,1,1,1,1,1
492,1,1,1,1,2,1,1,1,1,1,1
493,2,2,2,2,2,1,2,2,2,2,1
494,4,4,4,4,4,3,4,3,4,3,4
495,1,1,1,1,1,1,1,1,1,1,1
496,1,1,1,1,1,1,1,1,1,1,1
497,2,3,2,2,2,2,2,2,2,1,2
498,1,1,1,1,1,1,1,1,1,1,1
499,1,1,1,1,1,1,1,1,1,1,1
500,3,3,2,3,2,2,3,3,2,3,3
501,3,3,3,3,3,3,3,2,2,2,3
502,1,1,1,1,1,1,1,1,1,1,1
503,2,2,3,2,2,3,2,2,2,2,2
504,1,1,2,1,2,1,1,1,1,1,2
505,1,1,1,1,1,1,1,1,1,1,1
506,3,3,3,3,3,3,3,4,3,4,3
507,3,3,3,3,3,3,3,3,3,3,3
508,1,1,1,1,1,1,1,1,1,1,1
509,3,4,3,3,3,3,4,3,3,4,3
510,1,1,1,1,2,1,1,1,1,1,2
511,1,1,1,1,1,1,1,1,1,1,1
512,2,2,1,2,1,2,2,1,2,2,2
513,3,4,4,4,3,3,4,3,4,4,4
514,3,3,3,3,3,3,3,3,3,3,3
515,3,2,3,4,3,3,4,3,3,3,3
516,2,2,3,2,2,1,2,2,2,2,1
517,3,4,4,3,3,3,3,3,3,3,3
518,4,4,4,3,3,4,4,3,4,4,4
519,3,4,4,3,4,3,4,3,3,3,3
520,3,3,3,3,3,3,3,3,3,3,2
521,1,1,1,1,1,1,1,1,1,1,1
522,2,3,2,2,2,3,3,2,2,2,2
523,1,1,1,1,1,1,1,1,1,1,1
524,2,2,2,2,2,2,2,2,2,1,2
525,2,2,3,2,2,2,2,2,2,2,2
526,1,1,1,1,1,1,1,1,1,1,1
527,1,1,1,1,1,1,1,1,1,1,1
528,3,4,3,3,3,3,3,3,3,3,3
529,4,4,3,4,4,4,4,4,4,4,4
530,4,4,4,4,4,4,4,4,4,4,4
531,2,2,2,2,2,2,2,2,2,2,2
532,1,1,1,1,1,1,1,1,1,1,1
533,1,1,1,1,1,1,1,1,1,1,1
534,2,1,2,2,1,2,2,2,1,2,2
535,4,3,4,4,4,4,4,4,4,4,4
536,3,3,3,4,4,3,3,3,3,3,3
537,3,3,3,3,3,3,3,3,2,3,2
538,4,4,4,4,4,4,4,4,4,4,4
539,1,1,1,1,1,1,1,1,1,1,1
540,1,1,1,1,1,1,1,1,1,1,1
541,4,4,4,3,3,3,3,3,3,3,3
542,3,4,4,3,4,3,4,3,3,4,3
543,4,4,4,4,4,3,4,4,4,4,4
544,3,3,3,3,4,3,3,3,3,3,3
545,4,4,4,4,4,4,4,4,4,4,4
546,2,3,3,2,2,3,3,3,3,2,2
547,4,4,4,4,4,4,4,3,4,4,4
548,3,3,3,3,3,3,4,3,4,3,3
549,2,1,1,2,2,2,2,2,2,2,2
550,4,4,3,3,4,3,3,4,4,3,4
551,1,1,1,1,1,1,1,1,1,1,1
552,1,1,1,1,1,1,1,1,1,1,1
