,PVMATH,PVREAD,PVSCIE,PVMCCR,PVMCQN,PVMCSS,PVMCUD,PVMPEM,PVMPFS,PVMPIN,PVMPRE,,,PVMATH,,PVREAD,PVSCIE,PVMCCR,PVMCQN,PVMCSS,PVMCUD,PVMPEM,PVMPFS,PVMPIN,PVMPRE
148,511.2267,534.0828,582.5524,526.2923,550.411,477.7691,524.9273,520.3015,518.9086,523.2922,539.1753,,,,,,,,,,,,,,
149,561.4791,542.8778,543.239,555.6543,584.6464,531.6848,581.3964,584.6588,575.6387,574.983,530.0142,,,,,,,,,,,,,,
150,558.5734,586.0878,506.5085,542.3385,563.2547,548.3864,582.4521,544.1543,569.5852,610.8606,559.4309,,,,,,,,,,,,,,
151,480.0669,535.9225,505.0088,481.958,492.4938,517.4529,547.6944,500.3672,494.5744,509.8499,495.5895,,,,,,,,,,,,,,
152,612.4788,649.9247,571.5636,639.2652,630.0748,589.4424,576.5444,634.9537,636.655,622.193,601.3734,,,,,,,,,,,,,,
153,713.4346,630.0999,646.2626,685.3377,709.1163,711.3188,716.7038,733.9984,730.4694,667.5214,675.1217,,,,,,,,,,,,,,
154,486.6282,494.4847,518.0403,464.5979,499.1126,490.7553,443.6291,489.0515,468.7247,467.0726,465.881,,,,,,,,,,,,,,
155,611.0157,483.7203,530.4061,617.6613,588.6244,593.0913,596.3201,567.4896,647.9885,619.1928,572.7517,,,,,,,,,,,,,,
156,373.1955,292.4734,369.034,358.2755,382.377,407.9345,371.6857,336.1656,376.8182,351.3124,384.567,,,,,,,,,,,,,,
157,444.3493,382.4917,469.4495,470.0148,425.5549,467.1674,445.9788,456.0008,489.4259,426.4231,447.3463,,,,,,,,,,,,,,
158,608.6475,547.3875,601.446,588.9289,646.0964,564.5715,639.0764,629.9065,635.1757,629.8566,561.1382,,,,,,,,,,,,,,
159,437.416,430.7426,482.8963,475.4829,427.3946,461.845,412.3065,449.4089,455.7767,425.5096,395.648,,,,,,,,,,,,,,
160,432.738,467.8814,440.7014,432.7763,456.2392,491.2843,430.3671,476.8595,460.7093,423.0573,448.5183,,,,,,,,,,,,,,
161,570.9397,539.781,562.34,551.0449,570.2753,573.5118,580.7368,607.9446,563.2469,601.4678,584.9466,,,,,,,,,,,,,,
162,591.9979,446.859,536.7443,541.6819,597.3339,567.0915,543.5923,614.2557,583.3596,573.4903,572.8301,,,,,,,,,,,,,,
163,608.27,675.1228,582.3409,545.173,579.7108,600.6097,640.1708,588.4648,604.9613,575.6243,603.2659,,,,,,,,,,,,,,
164,543.5167,505.0512,512.9975,541.7337,560.8349,557.6821,537.1672,556.8152,552.5806,510.9675,575.161,,,,,,,,,,,,,,
165,664.6093,591.4821,600.9199,664.7384,662.0238,668.1885,651.3516,633.9467,671.5706,663.1137,680.7209,,,,,,,,,,,,,,
166,340.4835,268.7634,366.4914,375.1714,349.9851,388.5213,327.004,375.2388,367.0722,335.4091,398.2555,,,,,,,,,,,,,,
167,448.5496,420.3103,444.0378,473.9014,497.0523,477.9253,460.1087,464.4032,499.0843,449.8902,470.6934,,,,,,,,,,,,,,
168,651.2156,577.9433,668.089,668.4524,662.8323,655.0403,666.4836,705.3246,688.037,607.3262,692.9262,,,,,,,,,,,,,,
169,335.1959,331.3443,365.1594,324.0091,357.0128,328.5263,266.0285,337.0264,331.2636,301.6009,342.8424,,,,,,,,,,,,,,
170,424.1183,264.7111,401.6111,444.5005,453.6248,420.5079,437.1306,436.971,435.7856,423.6719,418.4771,,,,,,,,,,,,,,
171,566.5094,480.2769,555.1255,552.2215,603.4709,540.3208,583.3236,619.8548,593.8684,616.1625,567.2457,,,,,,,,,,,,,,
172,502.0714,480.169,505.7957,492.3315,517.3349,517.0393,508.8806,517.1797,505.2694,514.0911,483.9588,,,,,,,,,,,,,,
173,632.5313,681.4354,586.4043,616.8506,614.1514,654.7307,638.6519,629.7946,613.1294,619.634,615.3733,,,,,,,,,,,,,,
174,601.9445,577.872,600.0659,559.5436,592.8946,592.8721,586.2874,627.5646,595.2683,599.3843,585.4984,,,,,,,,,,,,,,
175,512.1742,545.5833,519.6237,507.1365,514.1887,498.7395,510.6625,527.5842,504.9741,534.1846,518.5785,,,,,,,,,,,,,,
176,475.4788,417.1399,462.7791,481.1947,461.6502,485.9787,473.6928,436.878,468.8381,441.1758,471.7128,,,,,,,,,,,,,,
177,636.9145,625.8366,628.9749,634.6087,641.1934,639.5129,629.1389,643.5007,624.033,630.8241,642.7827,,,,,,,,,,,,,,
178,383.7687,407.2185,457.344,380.2337,339.8788,419.5363,382.718,356.6252,425.0151,370.3579,449.0382,,,,,,,,,,,,,,
179,626.0089,539.8817,606.6951,633.9793,602.3919,593.2229,635.5047,618.5593,606.0292,634.0847,609.8064,,,,,,,,,,,,,,
180,423.0438,397.1657,378.8623,464.1242,432.7533,413.282,399.9544,468.8097,467.1308,423.6582,452.9176,,,,,,,,,,,,,,
181,500.0257,542.6809,526.507,478.1737,497.9142,503.8348,541.7076,522.6192,499.8486,506.5805,511.4936,,,,,,,,,,,,,,
182,575.7554,578.6265,557.9545,587.4172,584.3822,590.5201,555.2729,582.8366,592.2296,608.7169,608.5185,,,,,,,,,,,,,,
183,477.5054,537.1096,506.7215,469.4893,481.3019,475.0927,453.5912,483.177,456.2989,459.7072,464.6313,,,,,,,,,,,,,,
184,620.1046,576.598,588.5099,634.7189,627.1428,621.1598,589.4789,634.7511,596.3593,615.9939,592.8255,,,,,,,,,,,,,,
185,494.2241,441.5654,473.1694,491.0877,484.7871,531.4539,508.3025,470.2533,460.1874,514.0776,487.6262,,,,,,,,,,,,,,
186,608.7238,623.4182,698.041,572.7608,590.2542,566.2459,588.323,592.1808,619.5307,610.7513,619.9008,,,,,,,,,,,,,,
